year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,5,0
1923,0,0
1924,5,0
1925,0,0
1926,5,0
1927,0,0
1928,6,0
1929,0,0
1930,5,0
1931,5,0
1932,6,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,8,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,7,0
1957,0,0
1958,0,0
1959,0,0
1960,5,0
1961,5,0
1962,7,0
1963,0,0
1964,7,0
1965,6,0
1966,10,0
1967,5,0
1968,5,0
1969,10,0
1970,22,0
1971,16,0
1972,14,0
1973,7,0
1974,16,0
1975,25,0
1976,22,0
1977,11,0
1978,20,0
1979,15,0
1980,18,0
1981,22,0
1982,10,0
1983,15,0
1984,14,0
1985,17,0
1986,11,0
1987,15,0
1988,19,0
1989,16,0
1990,18,0
1991,20,0
1992,14,0
1993,19,0
1994,17,0
1995,14,0
1996,18,0
1997,22,0
1998,14,0
1999,17,0
2000,25,0
2001,29,0
2002,26,0
2003,30,0
2004,21,0
2005,24,0
2006,26,0
2007,23,0
2008,24,0
2009,25,0
2010,36,0
2011,16,0
2012,19,0
2013,24,0
2014,19,0
2015,23,0
2016,21,0
2017,21,0
2018,16,0
2019,14,0
