year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,6,0
1963,0,0
1964,6,0
1965,7,0
1966,15,0
1967,10,0
1968,23,0
1969,18,0
1970,25,0
1971,36,0
1972,31,0
1973,51,0
1974,51,0
1975,65,0
1976,61,0
1977,78,0
1978,107,0
1979,96,0
1980,77,0
1981,76,0
1982,76,0
1983,66,0
1984,62,0
1985,60,0
1986,71,0
1987,51,0
1988,84,0
1989,82,0
1990,97,0
1991,110,0
1992,114,0
1993,116,0
1994,214,0
1995,213,0
1996,173,0
1997,150,0
1998,187,0
1999,172,0
2000,211,0
2001,246,0
2002,222,0
2003,172,0
2004,138,0
2005,143,0
2006,149,0
2007,152,0
2008,135,0
2009,139,0
2010,143,0
2011,157,0
2012,174,0
2013,171,0
2014,220,0
2015,197,0
2016,237,0
2017,253,0
2018,263,0
2019,273,0
